attendance,internal_marks,assignment_percentage,study_hours,previous_marks,performance
80,49,41,6.1,66,Average
54,52,87,1.3,46,Poor
77,89,42,0.7,62,Average
54,99,78,0.7,60,Average
85,88,54,3.9,70,Average
91,35,88,6.5,89,Good
61,70,49,2.1,78,Average
46,46,64,1.2,79,Poor
78,68,91,0.8,93,Average
74,50,99,3.3,72,Average
93,81,76,1.9,43,Average
42,64,89,2.7,45,Poor
94,64,95,1.3,70,Average
69,81,50,3.3,61,Average
82,69,84,7.5,44,Good
78,56,74,6.0,55,Average
69,83,57,7.9,63,Good
83,76,93,6.3,42,Good
54,39,91,2.9,69,Poor
44,62,98,7.6,75,Good
53,98,65,7.1,93,Good
49,68,48,2.3,68,Poor
87,89,97,4.9,81,Good
54,52,72,4.2,41,Poor
95,49,49,5.2,89,Average
78,43,64,3.4,94,Average
73,67,75,7.0,36,Average
83,49,83,7.1,69,Good
89,78,47,2.7,55,Average
69,35,86,7.1,68,Average
72,57,72,7.3,73,Good
93,99,78,2.0,82,Good
88,55,74,7.7,35,Average
78,76,71,0.6,81,Average
96,74,55,0.9,45,Average
45,97,92,1.0,51,Average
48,95,100,4.6,68,Good
73,89,53,7.5,60,Good
85,74,65,8.0,82,Good
68,92,47,2.4,43,Average
61,37,77,4.7,63,Average
40,44,85,5.2,64,Average
44,39,95,3.0,100,Average
55,70,82,4.1,51,Average
86,95,55,6.4,87,Good
52,47,46,5.4,80,Average
67,87,69,7.0,41,Good
83,47,43,3.5,78,Average
91,48,55,1.9,92,Average
48,89,51,2.6,66,Average
95,44,68,6.6,47,Average
43,36,45,7.4,65,Average
50,87,71,4.1,86,Average
97,42,50,3.3,84,Average
56,93,58,3.7,97,Average
49,59,58,2.1,42,Poor
77,42,87,2.9,41,Poor
77,96,72,7.4,55,Good
43,100,45,6.9,43,Average
78,43,83,7.0,86,Good
47,66,77,5.0,45,Average
66,75,99,2.5,75,Average
55,68,65,1.5,73,Poor
69,75,99,6.1,44,Average
40,93,79,8.0,47,Good
44,62,72,2.5,79,Average
96,43,96,2.3,71,Average
50,91,93,4.6,73,Average
79,36,82,6.6,73,Average
99,48,100,7.1,68,Good
47,48,87,4.6,69,Average
58,61,85,3.1,68,Average
72,97,56,7.3,41,Good
45,89,93,2.6,35,Average
61,51,80,7.8,55,Average
87,91,75,5.8,36,Good
47,44,100,7.1,54,Average
74,39,93,3.3,53,Average
67,51,42,2.8,40,Poor
97,80,53,5.6,48,Good
62,87,79,6.1,65,Good
95,55,91,6.6,87,Good
41,57,87,7.4,87,Average
91,66,57,1.7,48,Average
64,39,94,4.0,60,Average
92,93,62,2.8,64,Average
54,38,82,1.9,77,Poor
57,43,89,2.6,100,Average
65,77,100,0.7,68,Average
51,68,42,1.3,90,Poor
62,75,67,5.0,100,Good
47,84,97,4.8,67,Average
42,90,40,4.4,60,Average
63,90,44,7.6,77,Good
79,75,82,6.9,73,Good
72,74,82,3.6,86,Average
84,72,75,1.5,88,Average
82,83,83,6.1,57,Good
79,73,65,4.6,35,Average
59,71,53,3.7,76,Average
69,91,68,5.6,100,Good
70,56,82,1.1,100,Average
82,77,45,6.6,65,Good
83,74,54,6.5,53,Average
41,40,55,7.9,44,Average
69,88,96,5.2,59,Good
85,84,71,3.5,53,Average
81,35,97,6.1,48,Average
89,89,54,1.8,94,Average
43,66,98,6.9,93,Good
48,94,82,4.5,75,Average
100,91,79,6.6,99,Good
67,92,97,1.7,95,Good
68,68,88,2.4,70,Average
89,97,80,2.3,91,Good
44,71,55,2.5,75,Poor
97,45,48,1.6,84,Average
84,54,85,2.1,88,Average
66,77,74,4.0,42,Average
53,88,64,7.3,37,Average
94,83,70,0.5,80,Average
59,84,94,7.2,88,Good
74,63,71,2.1,90,Average
71,38,64,3.0,86,Average
86,56,93,4.0,51,Average
79,38,98,3.5,38,Average
45,89,48,7.0,58,Average
43,68,64,3.0,93,Average
60,78,88,7.1,70,Good
88,88,56,6.8,95,Good
41,41,100,3.1,43,Poor
89,40,88,0.7,66,Average
52,37,79,1.6,51,Poor
70,49,76,7.6,94,Good
84,67,89,3.3,49,Average
89,55,59,1.3,38,Poor
99,74,76,5.6,83,Good
65,60,44,4.9,66,Average
46,73,94,5.6,50,Average
90,40,62,4.5,82,Average
44,99,81,3.1,88,Average
92,97,46,3.8,81,Good
80,93,85,1.6,57,Average
86,69,79,6.6,96,Good
69,90,92,6.0,69,Good
60,66,93,7.5,70,Good
96,92,55,6.1,83,Good
61,38,71,6.9,58,Average
71,62,62,6.5,78,Average
57,70,75,0.6,59,Poor
45,65,86,3.5,65,Average
84,95,81,5.8,92,Good
90,37,45,2.7,86,Average
84,66,59,5.5,82,Good
70,79,67,8.0,77,Good
62,93,57,2.8,64,Average
47,59,60,1.4,58,Poor
52,62,87,4.1,71,Average
46,59,58,2.2,57,Poor
59,36,85,4.5,70,Average
42,41,75,2.7,51,Poor
80,97,46,7.0,71,Good
70,96,68,3.1,41,Average
56,96,47,6.7,86,Good
71,44,76,5.2,41,Average
49,54,91,4.7,73,Average
45,66,47,4.7,88,Average
78,63,89,4.4,92,Good
98,91,59,7.0,89,Good
59,42,79,7.7,47,Average
100,61,80,2.1,45,Average
50,65,51,4.6,55,Average
40,87,68,5.7,95,Good
58,39,54,2.7,71,Poor
84,93,44,5.7,68,Good
90,60,67,1.4,63,Average
81,54,98,2.5,53,Average
44,42,50,6.4,71,Average
68,50,69,5.7,86,Average
100,69,72,4.5,91,Good
45,40,96,3.7,76,Average
78,67,41,1.2,37,Poor
88,69,76,0.8,57,Average
70,91,98,2.6,90,Good
80,97,45,4.0,87,Good
61,76,82,1.3,55,Average
61,87,84,4.2,86,Good
92,39,69,1.2,67,Average
60,49,89,3.5,100,Average
92,35,82,7.0,94,Good
66,41,52,4.4,98,Average
80,91,88,0.9,69,Average
75,51,99,2.7,97,Average
47,38,80,5.1,65,Average
85,55,59,4.6,87,Average
45,63,93,7.3,94,Good
100,50,81,6.7,98,Good
99,72,72,5.8,88,Good
93,96,70,2.3,53,Average
64,59,98,5.0,52,Average
95,43,57,6.3,88,Good
61,99,57,6.7,71,Good
86,73,93,4.9,97,Good
95,54,68,4.5,79,Average
61,83,69,7.5,59,Good
84,65,76,3.4,87,Average
42,75,87,4.0,83,Average
64,54,71,7.7,51,Average
72,77,95,1.3,91,Average
46,93,40,5.9,87,Average
95,54,44,4.0,68,Average
61,85,81,1.1,77,Average
94,83,60,5.2,97,Good
95,39,79,1.0,71,Average
54,46,67,7.8,47,Average
68,56,84,2.7,38,Poor
42,76,90,0.9,80,Average
63,90,49,2.3,87,Average
76,58,50,1.8,83,Average
79,65,71,7.3,53,Good
54,94,80,2.4,67,Average
82,36,97,6.5,71,Average
83,55,44,3.8,79,Average
77,73,80,7.7,67,Good
69,73,52,8.0,96,Good
46,65,64,4.8,72,Average
84,72,41,7.8,85,Good
57,36,76,7.0,41,Average
98,98,93,7.3,71,Good
89,64,78,6.5,63,Good
80,59,79,2.4,52,Average
80,47,97,5.2,40,Average
59,91,42,4.8,51,Average
45,72,60,6.1,57,Average
52,51,90,4.5,81,Average
73,99,98,2.5,56,Average
56,96,91,2.7,78,Average
91,49,69,7.7,53,Good
88,63,95,5.6,85,Good
94,81,45,6.4,36,Average
56,50,69,3.3,68,Average
77,83,92,5.3,82,Good
46,64,70,0.7,76,Poor
98,63,81,1.0,94,Average
98,73,81,3.6,52,Average
42,39,59,8.0,49,Average
46,65,96,4.5,84,Average
69,82,82,7.6,88,Good
77,54,96,3.6,47,Average
93,97,79,3.6,70,Good
42,82,53,3.8,65,Average
94,81,46,7.9,82,Good
74,80,43,3.5,59,Average
47,93,45,5.5,37,Average
43,77,55,7.9,61,Average
44,61,77,2.1,64,Poor
61,53,90,7.3,35,Average
57,53,48,4.6,57,Poor
47,38,48,0.6,65,Poor
77,76,41,1.8,41,Poor
48,88,73,1.4,43,Poor
70,92,89,3.2,48,Average
68,99,54,7.6,40,Good
86,73,69,5.3,38,Average
43,96,94,3.5,48,Average
71,91,44,7.2,76,Good
78,53,44,1.4,76,Poor
64,72,69,4.3,90,Average
46,49,94,5.4,62,Average
67,92,96,2.2,78,Average
92,93,65,3.6,47,Average
60,89,60,5.5,82,Good
49,95,44,1.2,45,Poor
45,90,46,6.1,82,Average
91,51,75,0.9,77,Average
82,50,66,3.2,89,Average
95,41,58,5.0,80,Average
46,99,53,1.7,96,Average
54,48,62,6.8,82,Average
47,70,76,2.2,89,Average
94,38,78,7.5,69,Good
41,58,57,5.8,74,Average
98,78,62,0.5,53,Average
76,86,44,1.6,38,Poor
45,62,64,3.6,78,Average
50,82,59,5.9,45,Average
96,41,49,1.7,41,Poor
83,45,57,3.8,89,Average
71,91,66,2.5,100,Average
47,79,67,1.3,97,Average
73,74,42,2.2,42,Poor
40,61,59,7.6,52,Average
88,67,58,3.0,35,Average
71,90,51,1.5,64,Average
72,80,44,3.5,40,Average
67,37,69,7.4,75,Average
76,89,76,3.5,88,Good
58,49,65,0.7,76,Poor
50,93,93,5.7,81,Good
45,90,94,1.3,90,Average
77,86,73,1.1,74,Average
87,78,54,3.0,56,Average
44,100,80,1.4,100,Average
52,79,62,6.0,53,Average
55,48,49,2.4,57,Poor
78,54,88,6.2,44,Average
51,98,69,6.2,92,Good
83,76,95,7.8,75,Good
49,91,44,4.0,73,Average
90,70,77,0.9,99,Average
44,74,69,3.9,42,Poor
63,71,44,5.3,46,Average
79,99,64,4.0,40,Average
68,59,60,5.0,99,Average
49,42,68,1.3,78,Poor
85,45,72,5.3,40,Average
55,91,68,4.4,55,Average
63,82,98,2.6,87,Average
89,78,83,5.0,77,Good
44,77,46,4.7,84,Average
58,67,86,6.9,54,Average
61,45,77,5.5,79,Average
59,85,48,5.0,45,Average
59,83,81,6.4,51,Average
82,46,81,5.5,100,Good
63,37,63,2.8,62,Poor
61,97,52,2.2,52,Average
49,44,58,6.8,47,Average
72,39,82,3.0,51,Poor
78,83,49,1.7,56,Average
86,91,42,3.6,65,Average
68,71,88,6.1,92,Good
54,65,59,7.7,95,Good
97,59,63,5.6,91,Good
69,71,89,3.4,88,Average
50,60,91,5.0,67,Average
43,96,95,3.3,48,Average
85,50,58,1.1,55,Poor
57,92,97,4.4,90,Good
45,63,92,3.9,79,Average
99,38,66,0.9,99,Average
63,65,64,8.0,82,Good
54,38,60,7.5,77,Average
90,53,48,0.8,95,Average
84,52,88,5.8,92,Good
79,35,97,1.1,67,Poor
53,54,75,7.6,89,Good
47,71,55,2.8,41,Poor
55,88,80,6.5,93,Good
44,49,93,7.3,37,Average
80,100,76,2.3,53,Average
58,89,40,5.1,65,Average
76,88,51,5.5,45,Average
73,81,44,7.7,99,Good
90,99,75,0.7,95,Good
42,84,63,2.4,37,Poor
62,43,62,2.3,48,Poor
89,77,48,0.8,78,Average
92,57,93,6.3,94,Good
84,96,80,1.9,52,Average
44,93,42,2.7,40,Poor
90,60,96,0.8,74,Average
72,85,92,4.6,67,Good
42,59,58,3.2,41,Poor
95,77,57,1.4,82,Average
67,86,87,3.8,84,Good
61,58,71,5.7,82,Average
99,69,91,1.1,89,Average
45,90,78,8.0,58,Good
74,72,60,1.3,76,Average
82,72,59,3.8,89,Average
50,91,62,3.9,80,Average
79,90,57,5.3,42,Average
44,86,63,4.3,55,Average
100,38,49,6.9,91,Good
42,51,44,2.3,81,Poor
63,84,100,4.8,54,Average
83,92,100,3.3,91,Good
88,44,76,1.5,81,Average
65,75,81,2.6,49,Average
41,58,71,4.4,50,Poor
56,68,85,3.8,71,Average
84,97,52,1.4,44,Average
68,57,97,5.9,46,Average
91,75,82,3.1,43,Average
75,72,97,2.7,55,Average
85,57,90,3.2,63,Average
47,60,90,1.5,98,Average
41,81,75,4.8,94,Average
91,51,79,7.1,43,Average
59,85,85,5.9,87,Good
89,87,92,4.8,51,Good
60,44,68,4.0,79,Average
48,58,89,7.7,90,Good
72,42,93,1.4,54,Poor
59,56,50,2.9,63,Poor
62,71,94,1.1,60,Average
80,70,48,5.2,46,Average
72,56,77,7.6,54,Average
50,78,93,7.4,40,Average
92,38,45,0.8,68,Poor
81,61,89,4.8,38,Average
71,72,81,7.7,96,Good
55,86,59,3.9,42,Average
50,91,66,4.1,61,Average
61,53,60,7.0,75,Average
86,79,65,1.5,82,Average
72,48,60,2.3,50,Poor
57,92,55,1.6,41,Poor
58,84,95,5.1,66,Good
95,55,92,3.0,75,Average
52,55,71,8.0,94,Good
71,74,71,0.7,85,Average
72,93,55,2.1,80,Average
43,41,58,4.2,95,Average
58,36,94,1.3,52,Poor
96,68,86,3.2,86,Good
63,40,65,0.9,59,Poor
63,71,44,3.4,92,Average
88,70,92,7.9,50,Good
48,47,65,3.3,78,Poor
75,81,88,1.6,100,Average
65,99,42,0.8,52,Average
85,77,91,4.1,93,Good
49,100,48,3.0,75,Average
50,85,79,6.0,73,Good
77,78,72,6.7,97,Good
85,73,70,6.6,82,Good
61,49,66,4.9,38,Poor
78,95,56,7.8,64,Good
86,41,77,4.1,83,Average
49,66,42,4.8,49,Poor
52,37,68,2.9,54,Poor
66,61,66,4.3,95,Average
95,42,85,1.5,61,Average
75,76,82,4.1,83,Good
60,57,69,7.3,78,Average
74,80,83,6.3,68,Good
79,96,52,7.7,70,Good
75,73,54,7.6,73,Good
89,71,85,2.1,97,Good
60,96,62,4.7,70,Average
58,50,76,5.6,83,Average
97,85,92,3.1,53,Good
58,40,58,7.7,45,Average
62,91,81,2.4,96,Average
53,60,92,4.5,69,Average
48,48,79,6.1,65,Average
55,41,82,7.3,63,Average
80,64,43,1.3,77,Average
85,95,46,5.6,52,Good
40,55,66,5.4,95,Average
70,60,88,7.7,76,Good
58,42,98,6.3,64,Average
74,39,98,7.4,88,Good
96,57,99,7.4,85,Good
90,98,51,7.5,72,Good
96,39,40,2.7,48,Poor
99,77,58,3.9,98,Good
96,52,94,4.3,69,Average
52,49,61,1.7,93,Poor
81,67,85,1.9,78,Average
90,72,76,5.6,59,Good
51,86,92,3.7,76,Average
45,86,82,1.2,52,Poor
70,76,99,2.4,68,Average
64,65,68,6.2,77,Average
59,36,56,5.4,65,Average
43,50,69,2.8,86,Poor
83,99,99,7.2,74,Good
84,50,80,7.4,72,Good
63,63,54,7.7,96,Good
49,93,87,7.9,82,Good
66,95,88,4.5,62,Good
88,66,83,6.2,45,Good
73,92,73,5.8,44,Good
98,49,43,6.7,99,Good
52,54,50,3.0,91,Average
47,61,85,4.9,46,Average
97,100,68,6.6,93,Good
48,100,66,3.9,42,Average
75,94,83,6.6,37,Good
65,67,92,0.5,62,Average
77,44,42,3.7,43,Poor
74,42,99,7.2,95,Good
42,71,66,1.8,52,Poor
89,88,63,7.9,83,Good
68,83,64,1.1,52,Average
81,79,47,1.8,85,Average
73,51,86,7.8,35,Average
88,37,59,4.0,89,Average
74,83,92,2.2,93,Good
62,54,57,1.9,49,Poor
42,88,79,6.2,37,Average
55,61,44,1.3,39,Poor
68,41,55,6.1,86,Average
68,64,74,2.1,42,Poor
48,99,58,2.3,75,Average
